"site_No.","date","avg_temp","low_temp","low_temp_hhmm","high_temp","high_temp_hhmm","precipitation","max_wind_speed","avg_wind_speed","degree_of_max_wind_speed","site","PM","Li_ion","Na_ion","NH4_ion","K_ion","Mg_ion","Ca_ion","F_ion","Cl_ion","NO2_ion","Br_ion","NO3_ion","PO4_ion","SO4_ion","Pb","Cd","Cr","Cu","Mn","Fe","Ni","As","Be","Al","Ca_M","Mg_M","OC","EC","TC","z.Li_ion","z.Na_ion","z.NH4_ion","z.K_ion","z.Mg_ion","z.Ca_ion","z.F_ion","z.Cl_ion","z.NO2_ion","z.Br_ion","z.NO3_ion","z.PO4_ion","z.SO4_ion","z.Pb","z.Cd","z.Cr","z.Cu","z.Mn","z.Fe","z.Ni","z.As","z.Be","z.Al","z.Ca_M","z.Mg_M","z.OC","z.EC","z.TC","z.avg_temp","z.low_temp","z.high_temp","z.max_wind_speed","z.avg_wind_speed"
"545",2015-06-08,20.3,13.7,"0250",26.6,"1439",0,6.7,0.7,273.7,"Ansan",68,0,0.805,3.384,0.219,0.113,0.559,0,0.082,0,0.081,1.671,0,11.777,0.0682,0.0018,0.012,0.0661,0.0351,0.7829,0.0082,0.002,0,0.6881,0.764,0.2582,5.24,0.78,6.02,-0.0487976082929061,1.3330389251096,-0.0803852464473485,-0.452240765828073,-0.229587095325152,-0.121927361081252,-0.515358483983375,-0.681371535264197,-0.402849132635594,0.188137210430047,-0.826165594549612,-0.161370771180278,1.19890295092579,1.28999278752624,0.106419587881845,0.963668527740987,0.415310801019569,-0.0922314951516483,-0.215577997897859,0.337455580638889,-0.808953466299834,-0.123965215213338,0.00134645601565449,-0.0498653880599199,-0.0804800722776391,-0.473239259945216,-0.467768911140599,-0.571264538261753,0.686542811249622,0.515346813269265,0.711652958231009,-0.188310333013653,-1.1222003791991
"545",2015-06-09,19.7,14.9,"2323",26.6,"1336",0,8.8,1.2,286.3,"Ansan",77.6,0.005,0.498,5.898,0.304,0.129,0.591,0,0.143,0,0.129,6.913,0,15.278,0.2478,0.0046,0.0107,0.192,0.0662,0.8978,0.009,0.0046,0,0.4716,0.494,0.1717,4.48,0.9,5.38,3.88711474480596,0.321971988323767,0.900339579310263,-0.108195488295671,-0.140601115046587,-0.0597076130331294,-0.515358483983375,-0.645437498320891,-0.402849132635594,0.912332563608188,0.143548742098812,-0.161370771180278,1.94260534082645,7.95842425510543,1.24096352615835,0.734834557614683,2.64440095769278,0.952803390339828,-0.0201646229675391,0.482517743126591,-0.111695005176125,-0.123965215213338,-0.335815403263535,-0.440917443565868,-0.347983920747494,-0.649503206046764,-0.384973172303037,-0.705754738060635,0.629312961882692,0.626395566150295,0.711652958231009,0.80916750906843,-0.513269664072685
"545",2015-06-10,21.4,12.6,"0334",32.1,"1320",0,7.6,0.9,285.5,"Ansan",80.6,0,0.888,7.423,0.257,0.131,0.553,0,0.21,0,0.126,15.124,0,12.131,0.0376,0,0.0112,0.0292,0.0167,0.5798,0.0055,0,0,0.5054,0.7685,0.2715,8.04,0.82,8.85,-0.0487976082929061,1.60638926958264,1.49525022341542,-0.298432288813588,-0.129477867511766,-0.133593563840275,-0.515358483983375,-0.605968965940538,-0.402849132635594,0.867070354034554,1.66249655175547,-0.161370771180278,1.27410165016167,0.153834642159184,-0.622930086724478,0.822847623047877,-0.238012684137234,-0.710515800394193,-0.560995373427433,-0.152129217757105,-1.34530612870269,-0.123965215213338,-0.283177662646276,-0.0433478538014876,-0.0393494227441238,0.176154225692066,-0.440170331528078,0.0234343139739282,0.791464201755659,0.413552123128321,1.2152088570457,0.239180170735811,-0.878628093148535
"545",2015-06-11,22.1,15.3,"0438",28,"1135",0.5,8.2,0.7,91.7,"Ansan",75.6,0,0.243,4.545,0.236,0.081,0.574,0,0.088,0,0.079,5.97,0,10.066,0.03,0.0018,0.0081,0.0381,0.0321,0.7922,0.0064,0.0025,0,0.5532,0.5337,0.1571,10.37,0.98,11.35,-0.0487976082929061,-0.517839310960881,0.372527053753362,-0.383431710321593,-0.407559055882282,-0.0927618541836948,-0.515358483983375,-0.67783703982715,-0.402849132635594,0.157962404047625,-0.0308962444443899,-0.161370771180278,0.835442571285678,-0.128348426624791,0.106419587881845,0.277166617362076,-0.0804360169855933,-0.193038718832498,-0.199761249535353,0.0110657150415598,-0.67486530069912,-0.123965215213338,-0.208737307572164,-0.38341830799703,-0.393134859333157,0.716542376240233,-0.329776013077995,0.548786656938311,0.85823235935041,0.663411817110639,0.839830823383838,0.52417383990212,-1.1222003791991
"545",2015-06-12,22.7,17.4,"0515",30.1,"1406",0,9.7,1,292.6,"Ansan",50.8,0,0.737,4.918,0.227,0.122,0.599,0,0.128,0,0.091,4.748,0,12.78,0.0176,0,0.011,0.3422,0.026,0.5394,0.0065,0,0,0.4455,0.7411,0.2594,4.83,0.46,5.3,-0.0487976082929061,1.10908924530036,0.518036345721377,-0.419860033825024,-0.179532481418459,-0.0441526760210987,-0.515358483983375,-0.654273736913507,-0.402849132635594,0.33901124234216,-0.256953268363576,-0.161370771180278,1.41196593209413,-0.588752380956539,-0.622930086724478,0.7876423968746,5.30372853142048,-0.398013406983559,-0.629704688894665,0.0291984853525225,-1.34530612870269,-0.123965215213338,-0.376461705929525,-0.0830323957306096,-0.0767690362295023,-0.568329020342104,-0.688557548040765,-0.722566013035495,0.91546220871734,0.857747134652442,1.03209762111308,1.23665801281789,-0.756841950123252
"545",2015-07-06,22.1,15.3,"0552",29.2,"1221",0,7,0.9,288.2,"Ansan",42.5,0,0.344,1.57,0.198,0.12,0.754,0,0.18,0,0.081,1.34,0,5.933,0.0961,0.0104,0.0212,0.1081,0.0512,0.8775,0.0117,0.0025,0,0.5205,0.8065,0.1844,4.23,1.16,5.39,-0.0487976082929061,-0.185208168891275,-0.788036333927184,-0.537240187336079,-0.19065572895328,0.257224228586997,-0.515358483983375,-0.623641443125771,-0.402849132635594,0.188137210430047,-0.887397079751945,-0.161370771180278,-0.042512863578485,2.32590168477268,3.59109025544539,2.58310893171175,1.15893102802731,0.448767271935579,-0.0546893532641929,0.972102541522585,-0.67486530069912,-0.123965215213338,-0.259661985624956,0.0116891021586088,-0.308708789238047,-0.707484767264378,-0.205582404821652,-0.703653328688778,0.85823235935041,0.663411817110639,0.949697564943406,-0.0458134984304982,-0.878628093148535
"545",2015-07-07,22.9,16.9,"0524",28.5,"1555",0,4.8,0.6,162.8,"Ansan",45.7,0,0.298,2.511,0.168,0.083,0.479,0,0.292,0,0.059,3.243,0,5.627,0.0253,0.0012,0.0053,0.0365,0.0292,0.7557,0.005,0.0022,0,0.5583,0.5569,0.1483,6.02,1.36,7.38,-0.0487976082929061,-0.336703540526937,-0.420947208613774,-0.658667932347515,-0.396435808347461,-0.27747673120156,-0.515358483983375,-0.557664194967569,-0.402849132635594,-0.143785659776601,-0.53536228718385,-0.161370771180278,-0.107515129019674,-0.302856377056986,-0.136696970320262,-0.215706549063809,-0.108764406585888,-0.290485701723986,-0.261837735044114,-0.242793069311919,-0.755318200059548,-0.123965215213338,-0.200794926591453,-0.349816798042445,-0.42034912368616,-0.292336788946259,-0.0675895067590484,-0.285472863689129,0.934538825172983,0.811476820952012,0.885608632366991,-1.09079028537363,-1.24398652222438
"545",2015-07-08,22.6,18.3,"0300",25.8,"1612",0.5,7.6,1.3,86.3,"Ansan",24.5,0,0.14,0.537,0.07,0.033,0.273,0,0.434,0,0.032,1.247,0,0.866,0.0046,1e-04,0.0034,0.0053,0.021,0.2743,7e-04,5e-04,0,0.1214,0.2093,0.0369,3.64,0.66,4.3,-0.0487976082929061,-0.857057208318994,-1.1910151505571,-1.05533189938487,-0.674516996717977,-0.678016359261351,-0.515358483983375,-0.474014469624134,-0.402849132635594,-0.551145545939305,-0.904601092210606,-0.161370771180278,-1.11887390603111,-1.07143394598176,-0.58241066035746,-0.550156197709945,-0.661168003791641,-0.566025446451642,-1.08056705350761,-1.02250219268332,-1.21121796310197,-0.123965215213338,-0.881192230605671,-0.853260110982695,-0.764856970154851,-0.844321251737948,-0.550564649978161,-0.932706950221248,0.905923900489518,0.941033699313215,0.638408463857963,0.239180170735811,-0.391483521047402
"545",2015-07-09,25.4,21,"0538",32.3,"1321",0,6.6,1.2,109.9,"Ansan",21.8,0,0.098,0.246,0.071,0.032,0.192,0,0.173,0,0.035,0.82,0,0.567,0.0065,3e-04,0.0027,0.0047,0.0134,0.3066,0.0026,6e-04,0,0.2079,0.2741,0.0529,3.57,0.58,4.15,-0.0487976082929061,-0.995379069377642,-1.30453580461258,-1.05128430788449,-0.680078620485388,-0.835510096508162,-0.515358483983375,-0.627765021135658,-0.402849132635594,-0.505883336365671,-0.983591558015428,-0.161370771180278,-1.18238919154391,-1.00088817878577,-0.501371807623424,-0.673374489316416,-0.671791149891751,-0.821403746443128,-1.02563361564644,-0.677979556775024,-1.18440032998183,-0.123965215213338,-0.746483219854401,-0.759407617661267,-0.715376489513028,-0.860556088878881,-0.605761809203202,-0.964228090799111,1.17299653086852,1.19089339329553,1.23351998063896,-0.235809277874705,-0.513269664072685
"545",2015-07-10,26.1,19.6,"0523",33.3,"1531",0,6.1,0.9,290.7,"Ansan",59.3,0,0.279,2.322,0.144,0.064,0.579,0,0.484,0,0.125,5.603,0,3.082,0.1014,0.0062,0.0124,0.1044,0.0449,0.7252,0.0069,0.0022,0,0.369,0.5117,0.1035,7.94,1.48,9.42,-0.0487976082929061,-0.399277715767754,-0.494677117948774,-0.755810128356664,-0.502106659928257,-0.0830400185511755,-0.515358483983375,-0.44456034098208,-0.402849132635594,0.851982950843343,-0.0987873473726561,-0.161370771180278,-0.648138545842634,2.52268724589834,1.88927434803064,1.03407898008754,1.09342162707663,0.237072102205794,-0.313709866770614,0.101729566596373,-0.755318200059548,-0.123965215213338,-0.495597420640186,-0.415281808816033,-0.558894469483263,0.15296160120502,0.0152062320785137,0.143214648169808,1.23976468846327,1.06133651493433,1.32507559860526,-0.473304002179962,-0.878628093148535
